"Date","Headline"
"2018-01-12","Adani Enterprises planning to set up housing finance company for affordable mortgage lending"
"2018-01-18","Record date fixed for Adani Gas Limited demerger; shareholders to receive 1 share of AGL for every 1 AEL share"
"2018-01-31","Q3 FY18 results announcement scheduled for February 2018"
"2018-02-16","National Company Law Tribunal (NCLT) sanctions scheme for Adani Gas Limited demerger"
"2018-02-27","Adani Enterprises Q3 FY18 Results: Strong operational momentum across businesses"
"2018-03-23","Record date for Adani Green Energy demerger fixed as April 6, 2018"
"2018-03-27","Carmichael coal mine project faces further delays; Adani shifts focus to Australian renewables; financial timeline revised"
"2018-03-30","Adani Enterprises sells 100% stake in wholly-owned subsidiary Adani Energy Solutions Ltd for Rs 13.61 lakh"
"2018-04-01","Appointed date for Adani Green Energy demerger; renewable power undertaking vests in AGEL"
"2018-04-06","Record date for AGEL demerger; AGEL set to list on BSE and NSE by end of June 2018"
"2018-06-13","Adani Green Energy Limited (AGEL) officially demerged from Adani Enterprises; lists on exchanges"
"2018-06-18","AGEL begins trading on BSE and NSE as independent entity; 2,148 MW renewable portfolio transferred"
"2018-08-28","Adani Transmission completes Rs 18,800 crore acquisition of Reliance Infrastructure's Mumbai power business"
"2018-08-28","Adani Electricity Mumbai Ltd (AEML) formed to serve 3+ million customers across 400 sq km in Mumbai suburbs"
"2018-08-29","Acquisition includes 5,000 MW Dahanu power plant, transmission network and retail distribution assets"
"2018-09-05","Adani Enterprises goes ex-gas business; stock adjusts for 30% value of gas business spin-off"
"2018-09-07","Record date for Adani Gas Limited demerger; shareholders receive AGL shares effective date"
"2018-09-10","Adani Gas Limited completes demerger; begins trading as independent entity on BSE and NSE"
"2018-10-10","Q2 FY19 results announcement scheduled for October 2018"
"2018-11-05","Adani Gas Limited officially listed on BSE and NSE; largest CGD company in India"
"2018-11-15","Q2 FY19 Results announced: Income Rs 9,083 crore; EBITDA Rs 773 crore (Q2 FY18 comparable)"
"2018-12-16","Adani Enterprises acquires 51% stake in Bengaluru-based Alpha Design Technologies for Rs 400 crore"
"2018-12-16","Alpha Design to strengthen Adani Defence Systems and Technologies' capacity in defence electronics and avionics"
"2018-12-20","Year-end 2018: Adani Enterprises focuses on core infrastructure assets and defence sector expansion"
"2018-12-28","Stock ends 2018 with mixed performance amid multiple corporate restructuring initiatives"
