"Date","Headline"
"2016-01-01","Adani Enterprises launches new websitewww.adanienterprises.com"
"2016-01-04","Stock hits 52-week high of Rs 92 - strong rally in early 2016"
"2016-01-15","Board announces meeting scheduled for February 1, 2016 to consider Q3 financial results"
"2016-01-10","Adani Enterprises incorporates subsidiary Adani Agri Logistics (Kannauj) Ltd"
"2016-02-26","Adani Enterprises incorporates wholly-owned subsidiary Korba Clean Coal Pvt Ltd for coal washing business"
"2016-02-29","Stock hits 52-week low of Rs 58.45 - significant correction in early 2016"
"2016-03-02","DRI (Directorate of Revenue Intelligence) initiates probe against Adani firms for alleged coal over-invoicing from Indonesia"
"2016-04-03","Queensland approves Carmichael coal mine project leases - key regulatory milestone"
"2016-04-07","Adani Enterprises announces deferral of Carmichael mine project by another year"
"2016-05-03","Q4 FY16 Results: Consolidated net profit declines 77.37% to Rs 166.80 crore; FY16 profit down 46.56% to Rs 1,041.12 crore"
"2016-05-03","FY16 revenue declines 31.8% to Rs 43,920.76 crore due to commodity cycle downturn"
"2016-05-04","Annual Report FY16 published; company focused on coal, renewable energy, edible oil and city gas distribution"
"2016-06-27","Renewable solar project commissioning continues; firm working towards 10,000 MW solar park ambition by 2022"
"2016-08-01","Board meeting to consider Q1 FY17 (April-June 2016) results"
"2016-08-24","Show cause notices issued against Adani Group entities for coal import over-valuation"
"2016-09-15","DRI issues show cause notice to Adani Enterprises for alleged Rs 1,100 crore over-invoicing of Indonesian coal imports"
"2016-09-16","Adani Enterprises notifies BSE regarding regulatory notices received from revenue authorities"
"2016-10-12","Board announces Q2 FY17 results scheduled for announcement on October 24, 2016"
"2016-10-24","Q2 FY17 Results: Consolidated income Rs 7,594 crore; EBITDA Rs 580 crore; PAT Rs 63 crore"
"2016-10-24","Half-yearly FY17: Consolidated income Rs 16,513 crore; EBITDA Rs 1,387 crore; PAT Rs 427 crore"
"2016-10-24","Mining volume growth 48% on half-yearly basis; Coal trading up 10% to 42.8 million tonnes"
"2016-10-24","Renewable energy - 648 MW solar project fully operational; 75 MW additional capacity in Punjab"
"2016-11-07","Adani Enterprises and Elbit Systems (Israel) incorporate joint venture AEASIL for manufacturing unmanned aerial vehicles"
"2016-11-08","Stock gains 3.41% to Rs 65.20 after announcing UAV manufacturing joint venture with Israeli firm Elbit"
"2016-11-08","Adani-Elbit Advanced Systems India (AEASIL) incorporated with 51% Adani stake and 49% Elbit stake for aerospace and defence manufacturing"
"2016-12-21","Year-end 2016: Adani Enterprises Ltd emerges as largest player in multiple nation-critical business spaces"
