"Date","Headline"
"2019-01-08","Adani Group signs MoU with Government of Andhra Pradesh for data center and technology park"
"2019-01-15","Adani Enterprises announces diversification into integrated data center business in Visakhapatnam"
"2019-02-22","Adani Logistics Limited acquires Adani Agri Logistics Limited from Adani Enterprises for Rs 1,370 crore"
"2019-02-24","Adani Enterprises emerges highest bidder for 5 of 6 airports in PPP auction"
"2019-02-25","Wins bids for Ahmedabad, Jaipur, Lucknow, Mangaluru, Thiruvananthapuram airports for 50-year concessions"
"2019-03-29","Adani Enterprises sells 100% stake in subsidiary Adani Energy Ltd (AEnL) for Rs 13.61 lakh"
"2019-03-30","FY19 & Q4 Results: Revenue Rs 47,849.12 crore; EBITDA Rs 2,793.74 crore; PAT Rs 331.19 crore (Q4)"
"2019-05-09","Q4 FY19 Results: Net profit jumps 441.51% to Rs 331.19 crore; Revenue up 88.56% YoY"
"2019-05-15","Gidhmuri Paturia Collieries Private Limited incorporated; 74% stake held by Adani Enterprises"
"2019-06-25","Q1 FY20 Results announcement scheduled for August 2019"
"2019-08-28","Reliance Infrastructure completes transfer of Mumbai power business to Adani Transmission"
"2019-08-29","Adani Energy Solutions (now Adani Electricity Mumbai Ltd) begins distribution operations"
"2019-09-10","Q1 FY20 Results: Consolidated income Rs 8,627 crore; EBITDA Rs 540 crore; PAT Rs 50 crore"
"2019-09-15","Coal trading volumes decline YoY but mining volumes grow; renewable portfolio expansion on track"
"2019-10-15","Adani Green Energy stock rises 11% on strong renewable project pipeline"
"2019-10-21","Adani Green Energy falls 2.45% after 58.34% rally; 50 MW wind commissioned in Kutch, Gujarat"
"2019-11-12","Q2 FY20 Results: Consolidated income Rs 8,627 crore vs Rs 9,265 crore in Q2 FY19"
"2019-11-12","H1 FY20 EBITDA Rs 1,436 crore (up 39%); Coal mining and solar manufacturing grow 30% and 78%"
"2019-11-13","Adani Green Energy Q2 FY20: Revenue Rs 688 crore (up 53% YoY); profit Rs 102 crore vs loss Rs 188 crore"
"2019-12-15","Year-end 2019: Adani Enterprises positioned for major growth in airports and data centers"
"2019-12-20","Airport concession agreements finalized for Ahmedabad, Jaipur, Thiruvananthapuram airports"
"2019-12-27","Stock ends 2019 with positive momentum; market cap increased to Rs 1.2+ lakh crore"
