"Date","Headline"
"2022-01-10","Adani Enterprises starts 2022 with strong momentum; stock trading around Rs 2,000 levels"
"2022-01-20","Q3 FY22 Results: Solid performance across all segments; airports recovering strongly"
"2022-02-07","Adani Group sets up data center subsidiary in Mumbai; targets 1 GW data center capacity"
"2022-02-11","Adani Enterprises awarded India's largest expressway project worth Rs 15,000+ crore"
"2022-02-13","9M FY22 Results show strong recovery; EBITDA up 77% to Rs 2,210 crore; airports at 40% pre-COVID levels"
"2022-02-24","Adani Group signs MoU with Ballard Power Systems for commercialisation of hydrogen fuel cell technology"
"2022-03-25","LIC continues increasing stake in Adani companies; exposure rises to Rs 56,000+ crore across group firms"
"2022-03-29","Adani partners with Google Cloud to accelerate digital transformation journey across portfolio"
"2022-03-30","Google to lease 464,000 sq ft data center space from Adani Enterprises in Noida for Rs 11 crore/month"
"2022-04-01","International Holding Company (IHC) Abu Dhabi to invest Rs 7,700 crore ($1 billion) in Adani Enterprises"
"2022-04-07","IHC announces USD 2 billion investment in Adani Group's green energy portfolio via preferential allotment"
"2022-05-03","FY22 Results: Consolidated income up 75% to Rs 70,433 crore; EBITDA up 45% to Rs 4,726 crore; PAT from established businesses up 74%"
"2022-05-04","Achieved financial closure for Navi Mumbai Airport project worth Rs 12,770 crore"
"2022-05-04","IRM (coal trading) segment revenue increased 75%; airport operations normalized post-COVID"
"2022-05-15","Adani Family announces acquisition of Holcim's stake in Ambuja Cements & ACC for USD 10.5 billion"
"2022-05-16","Largest-ever acquisition in India's infrastructure and materials space; becomes 2nd largest cement manufacturer"
"2022-05-17","Ambuja + ACC combined capacity 70 MTPA; deal includes 23 cement plants, 14 grinding stations, 80 RMC plants"
"2022-06-10","Carmichael coal mine in Australia reaches 10 MTPA production; plans to scale to 25-30 MTPA in 2-3 years"
"2022-07-08","Adani Group announces Rs 57,575 crore investment in Odisha for green energy, ports, and infrastructure"
"2022-08-11","CreditSights report warns Adani Group is 'deeply overleveraged'; stock drops 5%; report later toned down"
"2022-08-12","Adani responds to CreditSights; says all projects have robust cash flows and strong credit ratings"
"2022-08-29","Gautam Adani becomes world's 3rd richest person with $137 billion fortune; first Asian in top 3"
"2022-08-30","Added $60.9 billion to wealth in 2022 alone - 5x more than anyone else; overtook Bernard Arnault"
"2022-08-31","Adani net worth surges past Bill Gates; only trails Elon Musk and Jeff Bezos globally"
"2022-09-13","Gautam Adani briefly becomes world's 2nd richest with $150.6 billion as Bezos fortune dips"
"2022-09-16","Adani completes acquisition of Holcim's Ambuja & ACC stakes; paid $6.4 billion in cash"
"2022-10-21","Adani Enterprises announces definitive agreement to acquire Gidhmuri Paturia Collieries"
"2022-10-27","Q2 FY23 Results announced; strong operational performance across all business verticals"
"2022-11-02","Stock hits all-time intraday high of Rs 4,184.13 as market cap surges to Rs 4.5+ lakh crore"
"2022-11-04","Stock hits all-time closing high of Rs 3,912.41; Adani Group market cap crosses Rs 20 lakh crore"
"2022-11-10","Combined Adani Group stocks valuation at record Rs 20.12 lakh crore; concerns about leverage mounting"
"2022-11-25","Announces plans to raise $2.45 billion via India's biggest follow-on share sale in FY23"
"2022-12-05","LIC's Adani exposure crosses Rs 74,000 crore (7.8% of equity AUM); increased 10x from Sept 2020's Rs 7,304 crore"
"2022-12-15","CreditSights maintains Adani Group is 'deeply over-leveraged' despite September clarifications"
"2022-12-19","Year-end: Gautam Adani adds $49 billion in 2022; rises 12 places to become 3rd richest globally at $125 billion"
"2022-12-20","Adani becomes 'King of Coal' and maritime transport as energy crisis boosts coal demand globally"
"2022-12-30","Stock ends 2022 at Rs 3,852.94 - up 125.8% YoY; market cap at Rs 4.45 lakh crore from Rs 1.97 lakh crore"
"2022-12-31","Year 2022: Meteoric rise with $10.5B cement deal, world's 3rd richest tag, but leverage concerns persist"
