"Date","Headline"
"2017-01-10","Adani Enterprises incorporates subsidiary Adani Agri Logistics (Kannauj) Limited"
"2017-01-31","For the first time, foreign investors linked to Adani family hold significant stakes (13-14%) in Adani listed companies"
"2017-02-13","Board announces Q3 financial results scheduled for announcement in February 2017"
"2017-02-14","Q3 FY17 Results announced: Financial performance impacted by commodity cycle headwinds"
"2017-03-16","Queensland Premier Ms. Annastacia Palaszczuk visits Mundra Port, reaffirms commitment to Carmichael mine project"
"2017-03-17","Premier delegation visits Kamuthi solar plant (648 MW), world's largest solar installation"
"2017-03-20","Adani Australia announces shift from Carmichael coal to renewables; Jennifer Purdie appointed CEO for Australian Renewables"
"2017-03-20","Adani announces A$2 billion investment plan for 1,500 MW solar projects in Australia"
"2017-04-01","Record date set for renewable energy demerger; shareholders entitled to AGEL shares"
"2017-05-02","Q4 FY17 & FY17 Results: Revenue at Rs 37,313.70 crore; EBITDA Rs 3,090.39 crore; Net profit Rs 987.74 crore"
"2017-05-02","FY17 coal trading volumes 81 MMT; prices recovered in second half; diversification into new markets"
"2017-05-02","City gas distribution expanded to six cities (Ahmedabad, Faridabad, Khurja, Vadodara, Chandigarh, Allahabad)"
"2017-06-27","Q1 FY18 results announcement scheduled for August 11, 2017"
"2017-08-11","Q1 FY18 Results: Consolidated income Rs 8,779 crore; EBITDA Rs 727 crore; PAT Rs 159 crore"
"2017-08-12","Q1 FY18 net profit dives 62% to Rs 141 crore; coal trading and renewable energy show growth"
"2017-08-12","Renewable projects operationalized 808 MW; pipeline of 1,280 MW under implementation"
"2017-08-12","City gas volumes increased 14% YoY to 126 MMSCM in Q1 FY18"
"2017-09-25","Board meeting scheduled to consider renewable energy demerger scheme approval"
"2017-10-06","Adani Enterprises announces demerger of renewable energy business into Adani Green Energy Limited"
"2017-10-07","Board approves Scheme of Arrangement for demerger of renewable power undertaking to AGEL"
"2017-10-07","Renewable energy portfolio: 2,148 MW to be transferred; AGEL to issue 761 new shares per 1,000 AEL shares"
"2017-10-07","Appointed date for demerger fixed at April 1, 2018; expected to complete by Q1 FY18"
"2017-10-07","Demerger will unlock value of renewable business, eliminate holding company discount"
"2017-10-12","Stock rises on renewable demerger announcement; market reacts positively to capital structure simplification"
"2017-11-12","Q2 FY18 Results announced: Income Rs 9,083 crore (up 20% YoY); EBITDA Rs 773 crore (up 33%)"
"2017-11-13","Half-yearly FY18: Income Rs 17,862 crore; EBITDA Rs 1,500 crore; PAT Rs 218 crore"
"2017-11-13","Washed coal supplies at Parsa Kente mines increase 68% to 1.7 MMT in Q2 FY18"
"2017-11-13","Renewable projects operationalized 1,088 MW; pipeline of 1,060 MW under implementation"
"2017-11-13","City gas distribution joint venture with Indian Oil Corporation (IOC) operations begun in multiple cities"
"2017-12-20","Year-end 2017: Adani Enterprises positioned as India's largest diversified infrastructure player"
"2017-12-22","Stock shows positive momentum in year-end trading; renewable demerger scheme progressing"
