"Date","Headline"
"2020-01-15","Adani Enterprises announces strategic focus on airports, data centers, and renewable energy expansion"
"2020-02-04","Q3 FY20 Results: Consolidated income impacted by economic slowdown; operations remain resilient"
"2020-02-13","Adani Enterprises signs 50-year concession agreements with AAI for Ahmedabad, Lucknow, Mangaluru airports"
"2020-02-14","Airport takeover scheduled for October-November 2020; Rs 10,000+ crore investment planned"
"2020-03-16","Stock falls sharply as COVID-19 pandemic concerns mount; market-wide selloff intensifies"
"2020-03-24","Stock hits 52-week low of Rs 116 as India announces nationwide lockdown for 21 days"
"2020-03-25","Adani Enterprises suspends operations across multiple facilities due to COVID-19 lockdown restrictions"
"2020-03-31","Q4 FY20 operations severely impacted by 7-day lockdown in March; volumes decline across segments"
"2020-04-15","Adani Group announces COVID relief measures; focuses on employee safety and business continuity"
"2020-05-05","Q4 & FY20 Results: Consolidated revenue Rs 44,086 crore (up 8%); EBITDA Rs 2,968 crore (up 17%); PAT Rs 1,138 crore (up 59%)"
"2020-05-06","Adani Enterprises defers Rs 10,000 crore capex plans by 6 months amid COVID-19 uncertainty"
"2020-05-07","Airport business delayed by 6 months; mining and solar operations resuming gradually"
"2020-05-15","FY20 mining volumes 78.7 MMT; resources produced 15.5 MMT despite Q4 disruptions"
"2020-06-16","Adani Green Energy wins world's largest solar award: 8 GW solar projects worth Rs 45,000 crore ($6 billion)"
"2020-06-17","Solar award includes commitment for 2 GW additional solar manufacturing capacity; 400,000 jobs expected"
"2020-06-18","Single biggest investment under Atmanirbhar Bharat Abhiyan; will displace 900 million tonnes CO2"
"2020-06-20","Adani Power board decides to delist company; stock languishing at Rs 38 against Rs 100 IPO price"
"2020-07-15","Q1 FY21 operations severely impacted by extended lockdown; volumes across all segments decline"
"2020-08-06","Q1 FY21 Results: Consolidated income Rs 5,502 crore vs Rs 10,686 crore YoY; EBITDA Rs 301 crore vs Rs 896 crore"
"2020-08-07","PAT Rs 30 crore vs Rs 601 crore in Q1 FY20; operations recovering in phased manner toward pre-COVID levels"
"2020-08-18","Stock rallies 8.07% as investors bet on post-lockdown recovery and infrastructure stimulus"
"2020-08-19","Stock surges another 11.86% on strong buying interest; market cap crosses Rs 40,000 crore"
"2020-08-25","Stock jumps 24% in single session; massive rally driven by optimism on airports and solar projects"
"2020-09-15","LIC's exposure to Adani companies stands at $889 million (1.24% of equity AUM) as of September 2020"
"2020-10-07","Adani Group formally asked to take over Ahmedabad, Lucknow, Mangaluru airports by November 12, 2020"
"2020-10-15","Airport takeover preparations in full swing; staff training and infrastructure upgrades underway"
"2020-11-12","Adani Enterprises officially takes over operations of Ahmedabad, Lucknow, Mangaluru airports"
"2020-11-13","Becomes India's largest private airport operator; combined passenger capacity 100+ million annually"
"2020-11-15","Q2 FY21 Results show strong recovery; operations normalize across mining, solar, and infrastructure"
"2020-12-15","Stock rallies to Rs 477 by year-end; delivers 129% YTD return despite COVID disruptions"
"2020-12-30","Year-end 2020: Investors score big with Adani stocks; AEL up 335% from March lows of Rs 116"
"2020-12-31","Adani Enterprises emerges as top wealth creator in 2020; market cap crosses Rs 1.5 lakh crore"
