"Date","Headline"
"2021-01-18","Total SE (France) acquires 20% stake in Adani Green Energy for USD 2.5 billion in landmark transaction"
"2021-01-19","Adani Enterprises signs concession agreements with AAI for Guwahati, Jaipur, Thiruvananthapuram airports"
"2021-01-20","Total-Adani strategic alliance deepens; Total acquires 50% stake in 2.35 GW solar portfolio and 20% in AGEL"
"2021-02-02","Q3 FY21 Results: Consolidated income Rs 11,788 crore (up 6%); EBITDA Rs 939 crore (up 6%); PAT Rs 297 crore"
"2021-02-03","Took over operations of Mangaluru, Lucknow, Ahmedabad airports during Q3; shareholder value up 105% CAGR in 3 years"
"2021-02-04","Mining services production 5.1 MMT; Solar manufacturing 285 MW; IRM volume 21.4 MMT (up 5%)"
"2021-02-22","Three Adani airports - Ahmedabad, Mangaluru, Lucknow awarded ACI Airport Health Accreditation for safe travel"
"2021-03-24","Adani Enterprises enters data center business via AdaniConneX JV with EdgeConneX"
"2021-03-25","Gautam Adani sees world's top wealth surge; net worth reaches $77 billion, becomes Asia's richest person"
"2021-04-05","Adani Enterprises wins coal mining contract from MAHAGENCO for Maharashtra operations"
"2021-05-05","FY21 & Q4 Results: Consolidated revenue Rs 40,291 crore (down 9%); EBITDA Rs 3,259 crore (up 10%); PAT Rs 1,182 crore"
"2021-05-06","FY21 mining volumes 17.5 MMT (up 13%); solar manufacturing 1,158 MW (up 17%); normalised PAT Rs 939 crore"
"2021-05-07","Company announces exceptional write-off of Rs 259 crore for exploration block terminated by Ministry of Petroleum"
"2021-05-17","Abu Dhabi's IHC announces Rs 15,400 crore ($2 billion) investment in Adani Green, Transmission, and Enterprises"
"2021-05-17","IHC transaction completed via preferential allotment; represents 4.87% of UAE-India bilateral trade"
"2021-06-14","Economic Times reports NSDL froze accounts of 3 Mauritius funds (Albula, Cresta, APMS) holding Rs 43,500 crore Adani shares"
"2021-06-14","Adani Enterprises crashes 25% intraday to Rs 1,201; other group stocks fall 4-8%; Rs 62,000+ crore market cap wiped"
"2021-06-14","Adani Group issues statement calling reports 'blatantly erroneous'; says all FPI accounts active and not frozen"
"2021-06-14","Stock closes 6.3% down at Rs 1,501 after recovering from 25% fall; total group loss over $6 billion"
"2021-06-17","Gautam Adani loses $9 billion in week - more than anyone else globally; net worth falls to $67.6 billion"
"2021-06-17","Concerns raised about transparency of ultimate beneficial owners of offshore funds heavily invested in Adani stocks"
"2021-06-18","Opposition MP Mahua Moitra questions: 'Whose money is it? If Adani's money, minority shareholders being screwed'"
"2021-07-15","Media reports SEBI examining Mauritius funds with concentrated Adani holdings; investigation ongoing"
"2021-07-27","Four Mauritius funds invested in Adani have history of wrong bets; questions mount over fund credibility"
"2021-08-04","Hindenburg Research publishes detailed report questioning Adani Group's offshore shareholding structure"
"2021-08-05","Hindenburg alleges money routed from Adani Group through tax havens and reinvested in Adani listed stocks"
"2021-08-17","Adani stocks decline 16-52% from 52-week highs hit in May-June 2021; Adani Power down 52%"
"2021-08-18","Adani Total Gas down 42.5%, Adani Transmission down 38.2%, Adani Green down 32.9%, Adani Enterprises down 16.1%"
"2021-09-12","Gautam Adani meets Andhra Pradesh Chief Minister YS Jagan Mohan Reddy to discuss power sale agreements"
"2021-09-20","Andhra Pradesh signs power purchase agreement with SECI for 7,000 MW solar power supply (later alleged $1,750 cr bribes)"
"2021-09-22","Azure Power and Adani Green finalize power supply contracts with multiple state distribution companies"
"2021-10-15","Adani Enterprises takes over Jaipur, Guwahati, Thiruvananthapuram airports; becomes largest private airport operator"
"2021-10-27","Q2 FY22 Results: Consolidated income Rs 26,328 crore (up 78%); EBITDA Rs 2,210 crore (up 77%); PAT Rs 484 crore"
"2021-10-28","H1 FY22: Airport business recovers to 40% of pre-COVID passenger levels; domestic traffic at 90%"
"2021-10-28","Completes acquisition of Mumbai International Airport and development rights to Navi Mumbai Airport"
"2021-10-29","Board approves 100% independent audit committees across all Adani listed entities; enhances governance"
"2021-11-15","Multiple states sign power purchase agreements between July-November 2021 (later subject of US bribery charges)"
"2021-11-20","Odisha, Chhattisgarh, Tamil Nadu, J&K sign solar PPAs with SECI worth Rs 45,000+ crore"
"2021-12-15","Stock recovers partially to Rs 1,696; down from June peak but stabilizes after NSDL controversy"
"2021-12-30","Year-end 2021: Stock delivers volatile performance; major highs in Q1-Q2, crash in June, partial recovery"
"2021-12-31","FY21 marked by airport expansion, Total partnership, NSDL crisis, Hindenburg allegations, and governance reforms"
